CAT_SUBJECTCODE,CAT_TITLE,SUPERCAT_SUBJECTCODE,SUPERCAT_TITLE
"A12000","Science, multidisciplinary","A","Science, general"
"A13000","Applied Science, multidisciplinary","A","Science, general"
"A14000","Humanities and Social Sciences, multidisciplinary","A","Science, general"
"A11007","Science, general","A","Science, general"
"B23000","Forensic Science","B","Biomedicine"
"B18006","Neurosciences","B","Biomedicine"
"B19002","Parasitology","B","Biomedicine"
"B21007","Pharmacology/Toxicology","B","Biomedicine"
"B22003","Virology","B","Biomedicine"
"B24000","Biomedical Engineering/Biotechnology","B","Biomedicine"
"B0000X","Biomedicine general","B","Biomedicine"
"B11001","Cancer Research","B","Biomedicine"
"B12008","Human Genetics","B","Biomedicine"
"B13004","Human Physiology","B","Biomedicine"
"B14000","Immunology","B","Biomedicine"
"B15007","Laboratory Medicine","B","Biomedicine"
"B16003","Medical Microbiology","B","Biomedicine"
"B1700X","Molecular Medicine","B","Biomedicine"
"B25000","Biogerontology","B","Biomedicine"
"B12030","Gene Function","B12008","Human Genetics"
"B12040","Cytogenetics","B12008","Human Genetics"
"B12020","Gene Therapy","B12008","Human Genetics"
"B12010","Gene Expression","B12008","Human Genetics"
"B12050","Microarrays","B12008","Human Genetics"
"B14010","Antibodies","B14000","Immunology"
"B16010","Vaccine","B16003","Medical Microbiology"
"B16020","Drug Resistance","B16003","Medical Microbiology"
"B18010","Neurochemistry","B18006","Neurosciences"
"B21010","Pharmaceutical Sciences/Technology","B21007","Pharmacology/Toxicology"
"C00004","Chemistry/Food Science, general","C","Chemistry"
"C31000","Nuclear Chemistry","C","Chemistry"
"C12002","Biotechnology","C","Chemistry"
"C13009","Computer Applications in Chemistry","C","Chemistry"
"C14005","Documentation and Information in Chemistry","C","Chemistry"
"C15001","Food Science","C","Chemistry"
"C16008","Inorganic Chemistry","C","Chemistry"
"C17004","Math. Applications in Chemistry","C","Chemistry"
"C18000","Nutrition","C","Chemistry"
"C19007","Organic Chemistry","C","Chemistry"
"C21001","Physical Chemistry","C","Chemistry"
"C22008","Polymer Sciences","C","Chemistry"
"C23004","Safety in Chemistry, Dangerous Goods","C","Chemistry"
"C24000","Textile Engineering","C","Chemistry"
"C25007","Theoretical and Computational Chemistry","C","Chemistry"
"C34000","History of Chemistry","C","Chemistry"
"C27000","Process and Chemical Engineering","C","Chemistry"
"C35000","Green Chemistry","C","Chemistry"
